"Datos","urlficha"
"Corzo 	Medición	Total	Promedio	Factor	Puntos 1.1Longitud de la vara principal (Izquierda)	15.3 cm	33.3 cm	16.65 cm	x 0.5	8.325 Longitud de la vara principal (Derecha)	18 cm 1.2Peso (seco) de la cuerna	233.506 g			x 0.1	23.351 1.3Volumen de las Cuernas	116.753 cm3			x 0.3	35.026 1.4Amplitud Interna	8.2 cm	0-4 puntos		4 2.1.1Color		0-4 puntos		1 2.1.2Perlas		0-4 puntos		0 2.1.3Rosetas		0-4 puntos		1 		Total	72.702 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	Nefastix13	Rifle de cerrojo Scout 7mm-08	✓	Munición 7mm-08 (HP)	37.570 m (123.3 ft)	Caminando	- (Pulmón derecho)	De pie	Torre Peso:	Tipo:	Mapa 21.529 kg (47.5 lbs)	Común (M) Tiempo de la herida:	Integridad del trofeo: 0	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hemmeldal (8713, -3776)	1 Tiempo de Captura:	Cazador:	Trophy score: 72.7015 Valor de la captura: 100 2026-04-12 21:01	Nefastix13","https://www.thehunter.com/#profile/nefastix13/score/1098755928"
"Gamo A & B do not calculate in the final score but are required	 A. Tip to Tip Spread	0.00 cm B. Greatest Spread	0.00 cm 	 #	Measurement parameters	Left	Right	Average	Multiplier	Points Total	Points 1	Main beam length	0.00 cm	0.00 cm	0.00 cm	x 0.5	0 2	Length of brow tines	0.00 cm	0.00 cm	0	x 0.25	0 3	Length of palms	0.00 cm	0.00 cm	0	x 1.00	0 4	Width of palms	0.00 cm	0.00 cm	0	x 1.50	0 5	Circumference of coronets	0.00 cm	0.00 cm	0	x 1.00	0 6	Lower beam circumferences	0.00 cm	0.00 cm	∑ 0	x 1.00	0 7	Upper beam circumferences	0.00 cm	0.00 cm	∑ 0	x 1.00	0 8	Number of points			0	x 1.00	0 	Total Points:	0 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	Nefastix13	Rifle de cerrojo Scout 7mm-08	✓	Munición 7mm-08 (HP)	275.330 m (903.3 ft)	Parado	-	Tendido	Nada Peso:	Tipo:	Mapa 36.220 kg (79.9 lbs)	Chocolate (F) Tiempo de la herida:	Integridad del trofeo: 96.3	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hirschfelden (10003, 625)	1 Tiempo de Captura:	Cazador:	Trophy score: 0.0000 Valor de la captura: 0 2026-03-28 02:07	Nefastix13","https://www.thehunter.com/#profile/Nefastix13/score/1097111755"
"Faisán 	Columna 1	Columna 2 	T1. Plumas de la cola	T2. Espuelas Plumas de la cola más larga	21.6142 Espuela izquierda		0.7688 Espuela derecha		0.9475 	TOTALES	21.6142	1.7163 		AÑADIR	Columna 1	21.6142 		Columna 2	1.7163 	Total	23.3305f #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	Nefastix13	Pistola Cal .22	✓	Munición .22 LR	58.810 m (192.9 ft)	Caminando	-	Agazapado	Nada Peso:	Tipo:	Mapa 1.929 kg (4.3 lbs)	Común (M) Tiempo de la herida:	Integridad del trofeo: 0	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hirschfelden (10222, 465)	1 Tiempo de Captura:	Cazador:	Trophy score: 23.3305 Valor de la captura: 0 2026-03-28 02:01	Nefastix13","https://www.thehunter.com/#profile/Nefastix13/score/1097111607"
"Gamo A & B do not calculate in the final score but are required	 A. Tip to Tip Spread	22.30 cm B. Greatest Spread	26.50 cm 	 #	Measurement parameters	Left	Right	Average	Multiplier	Points Total	Points 1	Main beam length	34.70 cm	34.70 cm	34.70 cm	x 0.5	17.35 2	Length of brow tines	12.50 cm	12.70 cm	12.6	x 0.25	3.15 3	Length of palms	15.70 cm	15.60 cm	15.65	x 1.00	15.65 4	Width of palms	4.80 cm	4.50 cm	4.65	x 1.50	6.975 5	Circumference of coronets	10.00 cm	10.70 cm	10.35	x 1.00	10.35 6	Lower beam circumferences	8.00 cm	7.80 cm	∑ 15.8	x 1.00	15.8 7	Upper beam circumferences	9.00 cm	9.00 cm	∑ 18	x 1.00	18 8	Number of points	14	14	14	x 1.00	14 	Total Points:	101.275 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	Nefastix13	Rifle de cerrojo Scout 7mm-08	✓	Munición 7mm-08 (HP)	94.750 m (310.9 ft)	Caminando	- (Pulmón derecho, Pulmón izquierdo)	Tendido	Nada Peso:	Tipo:	Mapa 64.922 kg (143.1 lbs)	Común (M) Tiempo de la herida:	Integridad del trofeo: 0	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hirschfelden (10212, 328)	1 Tiempo de Captura:	Cazador:	Trophy score: 101.2750 Valor de la captura: 100 2026-03-28 01:58	Nefastix13","https://www.thehunter.com/#profile/Nefastix13/score/1097111415"
"Corzo 	Medición	Total	Promedio	Factor	Puntos 1.1Longitud de la vara principal (Izquierda)	23.6 cm	47.1 cm	23.55 cm	x 0.5	11.775 Longitud de la vara principal (Derecha)	23.5 cm 1.2Peso (seco) de la cuerna	481.925 g			x 0.1	48.193 1.3Volumen de las Cuernas	240.962 cm3			x 0.3	72.289 1.4Amplitud Interna	7.3 cm	0-4 puntos		1 2.1.1Color		0-4 puntos		1 2.1.2Perlas		0-4 puntos		2 2.1.3Rosetas		0-4 puntos		2 		Total	138.257 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	THUNDERFRUIT	Rifle Bullpup 7mm Magnum	✓	7mm Magnum	65.910 m (216.2 ft)	Corriendo	-	Tendido	Nada Peso:	Tipo:	Mapa 31.227 kg (68.8 lbs)	Común (M) Tiempo de la herida:	Integridad del trofeo: 0	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hemmeldal (6417, -4737)	1 Tiempo de Captura:	Cazador:	Trophy score: 138.2561 Valor de la captura: 100 2026-03-27 19:00	THUNDERFRUIT","https://www.thehunter.com/#profile/THUNDERFRUIT/score/1097077891"
"Corzo 	Medición	Total	Promedio	Factor	Puntos 1.1Longitud de la vara principal (Izquierda)	25.4 cm	50.2 cm	25.1 cm	x 0.5	12.55 Longitud de la vara principal (Derecha)	24.8 cm 1.2Peso (seco) de la cuerna	685.553 g			x 0.1	68.555 1.3Volumen de las Cuernas	342.776 cm3			x 0.3	102.833 1.4Amplitud Interna	15.8 cm	0-4 puntos		4 2.1.1Color		0-4 puntos		1 2.1.2Perlas		0-4 puntos		2 2.1.3Rosetas		0-4 puntos		3 		Total	193.938 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	THUNDERFRUIT	Rifle Bullpup 7mm Magnum	✓	7mm Magnum	57.520 m (188.7 ft)	Caminando	- (Pulmón derecho, Pulmón izquierdo, Estómago)	Tendido	Nada Peso:	Tipo:	Mapa 34.832 kg (76.8 lbs)	Común (M) Tiempo de la herida:	Integridad del trofeo: 0	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hemmeldal (6417, -4737)	1 Tiempo de Captura:	Cazador:	Trophy score: 193.9381 Valor de la captura: 100 2026-03-27 19:00	THUNDERFRUIT","https://www.thehunter.com/#profile/THUNDERFRUIT/score/1097077906"
"Corzo 	Medición	Total	Promedio	Factor	Puntos 1.1Longitud de la vara principal (Izquierda)	28.2 cm	55.6 cm	27.8 cm	x 0.5	13.9 Longitud de la vara principal (Derecha)	27.4 cm 1.2Peso (seco) de la cuerna	806.846 g			x 0.1	80.685 1.3Volumen de las Cuernas	403.423 cm3			x 0.3	121.027 1.4Amplitud Interna	7.3 cm	0-4 puntos		0 2.1.1Color		0-4 puntos		1 2.1.2Perlas		0-4 puntos		2 2.1.3Rosetas		0-4 puntos		3 		Total	221.612 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	THUNDERFRUIT	Rifle Bullpup 7mm Magnum	✓	7mm Magnum	19.280 m (63.3 ft)	Parado	- (Corazón, Pulmón derecho, Estómago)	Agazapado	Nada Peso:	Tipo:	Mapa 31.176 kg (68.7 lbs)	Común (M) Tiempo de la herida:	Integridad del trofeo: 0	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hemmeldal (6951, -5091)	1 Tiempo de Captura:	Cazador:	Trophy score: 221.6115 Valor de la captura: 100 2026-03-27 18:35	THUNDERFRUIT","https://www.thehunter.com/#profile/THUNDERFRUIT/score/1097078004"
"Corzo 	Medición	Total	Promedio	Factor	Puntos 1.1Longitud de la vara principal (Izquierda)	18 cm	35.4 cm	17.7 cm	x 0.5	8.85 Longitud de la vara principal (Derecha)	17.4 cm 1.2Peso (seco) de la cuerna	240.991 g			x 0.1	24.099 1.3Volumen de las Cuernas	120.495 cm3			x 0.3	36.149 1.4Amplitud Interna	4.7 cm	0-4 puntos		0 2.1.1Color		0-4 puntos		1 2.1.2Perlas		0-4 puntos		0 2.1.3Rosetas		0-4 puntos		1 		Total	71.098 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	THUNDERFRUIT	Arco Compuesto ""Mordedura de serpiente""	Nada	Flechas de Cupído	7.410 m (24.3 ft)	Trotando	- (Pulmón derecho)	Agazapado	Nada Peso:	Tipo:	Mapa 20.036 kg (44.2 lbs)	Común (M) Tiempo de la herida:	Integridad del trofeo: 8.768	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hemmeldal (7188, -5281)	1 Tiempo de Captura:	Cazador:	Trophy score: 71.0976 Valor de la captura: 85.386 2026-03-27 18:24	THUNDERFRUIT","https://www.thehunter.com/#profile/THUNDERFRUIT/score/1097077277"
"Oso Pardo 	MEDIDAS A. Longitud mayor sin mandíbula inferior	13.1228 B. Anchura Mayor	7.8705 	TOTALES	20.9933 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	THUNDERFRUIT	Arco Compuesto ""Mordedura de serpiente""	Nada	Flechas trazadoras Arco Compuesto	29.950 m (98.3 ft)	Parado	- (Pulmón derecho, Pulmón izquierdo, Hombro)	Agazapado	Nada Peso:	Tipo:	Mapa 255.475 kg (563.2 lbs)	Común (F) Tiempo de la herida:	Integridad del trofeo: 0	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hemmeldal (7240, -5400)	1 Tiempo de Captura:	Cazador:	Trophy score: 20.9933 Valor de la captura: 100 2026-03-27 18:19	THUNDERFRUIT","https://www.thehunter.com/#profile/THUNDERFRUIT/score/1097076647"
"Alce 	Puntos anormales 	Cuerna Derecha	Cuerna izquierda Número De puntas	0	0 Total B	0 	Columna 1	Columna 2	Columna 3	Columna 4 A. Envergadura Mayor	33.1102	Cuerna Derecha	Cuerna izquierda	Diferencia B. Número de puntas anormales en ambas astas				0.0000 C. Número de puntas normales		9.0000	9.0000	0.0000 D. Ancho de la Palma		9.4882	8.8976	0.5906 E. Longitud de la Palma incluyendo la Palma Frontal		21.6929	21.7717	0.0787 F. Circunferencia de la cuerna en el lugar más pequeño		9.0157	8.6614	0.3543 	Total	33.1102	49.1968	48.3307	1.0236 		AÑADIR	Columna 1	33.1102 			49.1968 			48.3307 	Subtotal	130.6378 	Restar columna 4	1.0236 	Total	129.6140 #	Cazador:	Arma	Visor	Munición	Distancia del Disparo	Estado del animal	Parte del cuerpo	Postura	Plataforma 1	THUNDERFRUIT	Rifle de Palanca .45-70 Government	✓	.45-70 Government	106.980 m (351.0 ft)	Parado	- (Pulmón derecho, Pulmón izquierdo, Hombro)	Agazapado	Nada Peso:	Tipo:	Mapa 561.453 kg (1237.8 lbs)	Claro (M) Tiempo de la herida:	Integridad del trofeo: 0	100% Lugar donde se realizó el tiro del jugador:	Disparos:	PUNTUACIÓN FINAL Hemmeldal (7673, -4222)	1 Tiempo de Captura:	Cazador:	Trophy score: 129.6140 Valor de la captura: 100 2026-03-27 17:41	THUNDERFRUIT","https://www.thehunter.com/#profile/THUNDERFRUIT/score/1097072847"
