"posicion","jugador","puntuacion","url"
"1"," MsWarren","245.0001 SP","https://www.thehunter.com/#leaderboards/score/1"
"2"," BobMarleyUOG","244.9607 SP","https://www.thehunter.com/#leaderboards/score/1"
"3"," Accurate_lab_4e0c","244.6455 SP","https://www.thehunter.com/#leaderboards/score/1"
"4"," buzzardsnr","244.6062 SP","https://www.thehunter.com/#leaderboards/score/1"
"5"," Hunter_Blaze","244.3306 SP","https://www.thehunter.com/#leaderboards/score/1"
"6"," bnu12","244.2914 SP","https://www.thehunter.com/#leaderboards/score/1"
"7"," Drew83","244.2521 SP","https://www.thehunter.com/#leaderboards/score/1"
"8"," Ramon28","244.2519 SP","https://www.thehunter.com/#leaderboards/score/1"
"9"," Oukki","244.2517 SP","https://www.thehunter.com/#leaderboards/score/1"
"10"," ros3ndo","244.1732 SP","https://www.thehunter.com/#leaderboards/score/1"
"11"," IowaHunter495","244.1731 SP","https://www.thehunter.com/#leaderboards/score/1"
"12"," apablackmamba09","244.0947 SP","https://www.thehunter.com/#leaderboards/score/1"
"13"," DEN_FAST","244.0159 SP","https://www.thehunter.com/#leaderboards/score/1"
"14"," Whitetailfever","244.0158 SP","https://www.thehunter.com/#leaderboards/score/1"
"15"," Seanbanan","243.8583 SP","https://www.thehunter.com/#leaderboards/score/1"
"16"," NeverSober","243.8188 SP","https://www.thehunter.com/#leaderboards/score/1"
"17"," TucuManko","243.8186 SP","https://www.thehunter.com/#leaderboards/score/1"
"18"," KevinLK","243.7402 SP","https://www.thehunter.com/#leaderboards/score/1"
"19"," Mpar","243.7008 SP","https://www.thehunter.com/#leaderboards/score/1"
"19"," hunterhunters","243.7008 SP","https://www.thehunter.com/#leaderboards/score/1"
"21"," PNWCollin","243.5434 SP","https://www.thehunter.com/#leaderboards/score/1"
"22"," CrownedClown","243.5432 SP","https://www.thehunter.com/#leaderboards/score/1"
"23"," BETEPAH1978","243.5041 SP","https://www.thehunter.com/#leaderboards/score/1"
"24"," luis18125","243.4647 SP","https://www.thehunter.com/#leaderboards/score/1"
"25"," hunter555788","243.4645 SP","https://www.thehunter.com/#leaderboards/score/1"
"26"," FlixsSaymand","243.4255 SP","https://www.thehunter.com/#leaderboards/score/1"
"27"," Jellle","243.4253 SP","https://www.thehunter.com/#leaderboards/score/1"
"28"," Gyd1","243.4249 SP","https://www.thehunter.com/#leaderboards/score/1"
"29"," Digage","243.3858 SP","https://www.thehunter.com/#leaderboards/score/1"
"30"," Noca","243.3464 SP","https://www.thehunter.com/#leaderboards/score/1"
"31"," lukapuka835","243.3463 SP","https://www.thehunter.com/#leaderboards/score/1"
"32"," BTB_POTATO","243.3074 SP","https://www.thehunter.com/#leaderboards/score/1"
"33"," SShotzy","243.2676 SP","https://www.thehunter.com/#leaderboards/score/1"
"33"," Whitehun","243.2676 SP","https://www.thehunter.com/#leaderboards/score/1"
"35"," Haul01","243.2283 SP","https://www.thehunter.com/#leaderboards/score/1"
"36"," MO_LESTERS","243.2282 SP","https://www.thehunter.com/#leaderboards/score/1"
"37"," Lazar122","243.2281 SP","https://www.thehunter.com/#leaderboards/score/1"
"38"," djpking","243.1497 SP","https://www.thehunter.com/#leaderboards/score/1"
"39"," bluebird123","243.1496 SP","https://www.thehunter.com/#leaderboards/score/1"
"39"," marreiros18","243.1496 SP","https://www.thehunter.com/#leaderboards/score/1"
"41"," Stwcowboy","243.1495 SP","https://www.thehunter.com/#leaderboards/score/1"
"42"," thorn7512","243.0708 SP","https://www.thehunter.com/#leaderboards/score/1"
"43"," Linkin119","243.0707 SP","https://www.thehunter.com/#leaderboards/score/1"
"44"," valdec","243.0314 SP","https://www.thehunter.com/#leaderboards/score/1"
"45"," iSukPro","242.9527 SP","https://www.thehunter.com/#leaderboards/score/1"
"46"," Kiwi_2smooth","242.9132 SP","https://www.thehunter.com/#leaderboards/score/1"
"47"," nickola111","242.8740 SP","https://www.thehunter.com/#leaderboards/score/1"
"48"," crosbow","242.8347 SP","https://www.thehunter.com/#leaderboards/score/1"
